Agency,Local Code,County,Township,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
DNR LAW ENFORCEMENT,06-22-01801,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,S FAIRFAX RD,,,,,S FAIRFAX RD,,,,,N,,0.0,,39.18072728931243,-86.56051327351528,,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,SFAIRFAXRD,0,,2022-07-04 23:00:00,,,
MONROE SD,M22A17664,MONROE,BLOOMINGTON,BLOOMINGTON,1,,0,0,1,,N ST RD 37,,,,,N ST RD 37,E OLD MYERS RD,,,,N,,250.0,,39.12333006151313,-86.5534988257839,COUNTY RD,,,,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN RDWAY,$5001 TO $10000,COLLISION WITH DEER,NOLDSTATERD37EOLDMYERSRD,0,,2022-07-22 07:19:00,,,
BLOOMINGTON PD,B22-39958,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,400,W NORTHLN DR,,,,,W NORTHLN DR,,,,,Y,,0.0,,39.17161019184723,-86.50242228645145,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,RIGHT ANGLE,WNORTHLNDR,0,,2022-09-30 09:07:00,,,
BLOOMINGTON PD,B22-05852,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,N DUNN ST,,,,,N DUNN ST,E 7TH ST,,,,Y,,0.0,,39.17581002703644,-86.50991060791046,LOCAL/CITY RD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,LEFT/RIGHT TURN,NDUNNSTE7THST,0,,2022-02-21 07:10:00,,,
BLOOMINGTON PD,B22-34440,MONROE,PERRY,BLOOMINGTON,1,,1,0,0,,BLOOMFIELD RD,,,,,BLOOMFIELD RD,S ADAMS ST,,,,Y,,0.0,,39.16557990376489,-86.53491517303591,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,COLLISION WITH OBJECT IN RD,SADAMSSTBLOOMFIELDRD,1,,2022-08-30 12:10:00,,,True
MONROE SD,M22A2972,MONROE,RICHLAND,ELLETTSVILLE,2,,0,0,0,,W ST RD 46,,,,,W ST RD 46,DEER PARK,,,,N,,0.0,,39.1696741490631,-86.54967292224728,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,WSTATERD46DEERPARK,0,,2022-02-08 09:04:00,,,
BLOOMINGTON PD,B22-26603,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,ST RD 46,,,,,ST RD 46,N KINSER PK,,,,Y,,0.0,,39.120293449936234,-86.5292509569197,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,STATERD46NKINSERPK,0,,2022-07-12 16:51:00,,,
INDIANA UNIV BLOOMINGTON PD,221142,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E 8TH ST,,,,,E 8TH ST,,,,,Y,,0.0,,39.16308178530787,-86.51644846462418,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$10001 TO $25000,BACKING CRASH,E8THST,0,,2022-03-28 15:05:00,,,
MONROE SD,M22A2487,MONROE,WASHINGTON,BLOOMINGTON,1,,0,0,1,,N ST RD 37,,,,,N ST RD 37,E WYLIE RD,,,,N,,0.0,,39.16855,-86.53358,LOCAL/CITY RD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN RDWAY,$2501 TO $5000,COLLISION WITH DEER,NOLDSTATERD37EWYLIERD,0,,2022-02-01 06:57:00,,,
BLOOMINGTON PD,B22-09221,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,E WINSLOW RD,,,,,E WINSLOW RD,S HENDERSON ST,,,,Y,,0.0,,39.152495391923196,-86.40045948558402,LOCAL/CITY RD,,,,RURAL,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,LEFT/RIGHT TURN,SHENDERSONSTEWINSLOWRD,0,,2022-03-18 08:40:00,,,
BLOOMINGTON PD,B22-20090,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,ST RD 46,,,,,ST RD 46,E 7TH ST,,,,Y,,0.0,,39.16188751059466,-86.55134139731666,LOCAL/CITY RD,,,,URBAN,N,N,Y,LN CLOSURE,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,STATERD46E7THST,0,,2022-05-31 14:32:00,,,
INDIANA UNIV BLOOMINGTON PD,221089,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,ST RD 45,,,,,ST RD 45,E 10TH ST,,,,Y,,370.0,,39.21282962543514,-86.49066625172541,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$10001 TO $25000,REAR END,STATERD45E 10THST,0,,2022-03-23 11:25:00,,,
MONROE SD,M22A11186,MONROE,CLEAR CREEK,BLOOMINGTON,2,,0,0,0,7148,S FAIRFAX RD,,,,,S FAIRFAX RD,,,,,N,,0.0,,39.1862562297017,-86.52842553104,PRIVATE DR,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,SFAIRFAXRD,0,,2022-05-15 14:07:00,,,
MONROE SD,M22A22713,MONROE,RICHLAND,,2,,0,0,0,,W RATLIFF RD,,,,,W RATLIFF RD,N HARTSTRAIT RD,,,,N,,0.0,,39.164578494023516,-86.57914049971623,,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,LEFT/RIGHT TURN,WRATLIFFRDNHARTSTRAITRD,0,,2022-09-15 08:09:00,,,
BLOOMINGTON PD,B22-30530,MONROE,PERRY,BLOOMINGTON,2,,3,0,0,,E 3RD ST,,,,,E 3RD ST,S PETE LLIS DR,,,,Y,,0.0,,39.1666614356998,-86.54965612725626,LOCAL/CITY RD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,SPETEELLISDRE 3RDST,0,,2022-08-07 21:56:00,,,
MONROE SD,M22A16275,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,S FAIRFAX RD,,,,,S FAIRFAX RD,E MOFFETT LN,,,,N,,0.0,,39.16757,-86.53485,COUNTY RD,,,,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$10001 TO $25000,REAR END,SFAIRFAXRDEMOFFETTLN,0,,2022-07-07 05:34:00,,,
BLOOMINGTON PD,B22-29752,MONROE,RICHLAND,BLOOMINGTON,1,,0,0,0,,WAPEHANI,,,,,WAPEHANI,WEIMER,,,,Y,,100.0,,39.08526,-86.54273,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,GRAVEL,UNSAFE SPEED,$5001 TO $10000,RAN OFF RD,WEIMERWAPEHANI,0,,2022-08-02 18:40:00,,,
INDIANA UNIV BLOOMINGTON PD,221583,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E 13TH ST,,,,,E 13TH ST,N FEE LN,,,,Y,,0.0,,39.16451413739336,-86.573287325765,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,IMPROPER TURNING,$1001 TO $2500,LEFT TURN,NFEELNE13THST,0,,2022-04-24 18:50:00,,,
BLOOMINGTON PD,B22-21880,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,360,N JACOB DR,,,,,N JACOB DR,,,,,Y,,0.0,,39.16751485006333,-86.52981702299503,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,OTHER - EXPLAIN IN NARRATIVE,NJACOBDR,0,,2022-06-11 20:08:00,,,
MONROE SD,M22A5843,MONROE,RICHLAND,BLOOMINGTON,2,,1,0,0,,W ST RD 46,,,,,W ST RD 46,N OUTBACK RD,,,,N,,0.0,,39.14394074,-86.5823023,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,ANIMAL/OBJECT IN RDWAY,$5001 TO $10000,RIGHT ANGLE,WST RD 46NOUTBACKRD,0,,2022-03-14 08:31:00,,,
BLOOMINGTON PD,B22-33928,MONROE,PERRY,BLOOMINGTON,2,,2,0,0,,W 3RD ST,,,,,W 3RD ST,S OPPORTUNITY LN,,,,Y,,0.0,,39.18629,-86.52841,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,W 3RDSTSOPPORTUNITYLN,0,,2022-08-27 12:05:00,,,
INDIANA UNIV BLOOMINGTON PD,220491,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E 7TH ST,,,,,E 7TH ST,N DUNN ST,,,,Y,,0.0,,39.1645696556043,-86.57620539881214,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,WET,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$50001 TO $100000,RIGHT ANGLE,NDUNNSTE7THST,0,,2022-02-08 17:55:00,,,
ISP BLOOMINGTON 33,2.022E+11,MONROE,BENTON,UNIONVILLE(MONROE),2,,0,0,0,,E ST RD 45,,,,,E ST RD 45,N BENTON DR,,,,N,,475.0,,39.186166056005554,-86.52216688018336,ST RD,,,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,LEFT OF CENTER,UNDER $1001,OPPOSITE DIRECTION SIDESWIPE,NBENTONDRESTATERD45,0,,2022-04-09 11:36:00,,,
INDIANA UNIV BLOOMINGTON PD,220434,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,1206,N FORREST AVE,,,,,N FORREST AVE,,,,,Y,,0.0,,39.072606286633395,-86.66006152546063,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,UNDER $1001,RIGHT TURN,NFORRESTAVE,0,,2022-02-05 13:00:00,,,
MONROE SD,M22A20107,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,S ST RD 37,,,,,S ST RD 37,W DILLMAN RD,,,,N,,500.0,,-9.032718175780927e-06,-3.3651981748344634e-05,ST RD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,WDILLMANRDSOLDSTATERD37,0,,2022-08-17 08:36:00,,,
BLOOMINGTON PD,B22-13240,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,N KINSER PK,,,,,N KINSER PK,ST RD 46,,,,Y,,0.0,,39.186267248961954,-86.52841564521296,LOCAL/CITY RD,,,,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,LEFT TURN,STATERD46NKINSERPK,0,,2022-04-15 20:50:00,,,
MONROE SD,M22A3329,MONROE,VAN BUREN,BLOOMINGTON,1,,0,0,0,,W 3RD ST,,,,,W 3RD ST,,,,,N,,0.0,,39.16852946052268,-86.53362485869982,ST RD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$5001 TO $10000,RAN OFF RD,W 3RDST,0,,2022-02-11 21:14:00,,,
BLOOMINGTON PD,B22-23876,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,1155,S COLLEGE MALL RD,,,,,S COLLEGE MALL RD,,,,,Y,,0.0,,39.164425454808296,-86.52819293975698,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,REAR TO REAR,SCOLLEGEMALLRD,0,,2022-06-25 11:20:00,,,
MONROE SD,M22A17813,MONROE,CLEAR CREEK,BLOOMINGTON,1,,0,0,0,,S ST RD 37,,,,,S ST RD 37,,,,,Y,,0.0,,39.17878666439616,-86.51247217911056,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,SOLDSTATERD37,0,,2022-07-23 17:44:00,,,
BLOOMINGTON PD,B22-32106,MONROE,VAN BUREN,BLOOMINGTON,2,,0,0,0,3374,W 3RD ST,,,,,W 3RD ST,,,,,Y,,0.0,,39.18617880464292,-86.52216126559497,,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,W 3RDST,0,,2022-08-17 18:29:00,,,
BLOOMINGTON PD,B22-30984,MONROE,PERRY,BLOOMINGTON,1,,1,0,0,,S WALNUT ST,,,,,S WALNUT ST,PRIVATE DR TO CVS SOUTH,,,,Y,,739.0,,39.23376,-86.6247,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,SWALNUTSTPRIVATEDRTOCVSSOUTH,1,,2022-08-10 17:45:00,,,True
BLOOMINGTON PD,B22-36306,MONROE,PERRY,BLOOMINGTON,2,,1,0,0,,E HILLSIDE DR,,,,,E HILLSIDE DR,S WALNUT ST,,,,Y,,0.0,,39.179676185495325,-86.50728771384398,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,SWALNUTSTEHILLSIDEDR,0,,2022-09-09 18:08:00,,,
BLOOMINGTON PD,B22-17698,MONROE,BLOOMINGTON,BLOOMINGTON,1,,1,0,0,,N HEADLEY RD,,,,,N HEADLEY RD,E TREADWELL LN,,,,Y,,0.0,,39.13682,-86.58261,,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN RDWAY,$5001 TO $10000,RAN OFF RD,NHEADLEYRDETREADWELLLN,0,,2022-05-14 06:15:00,,,
MONROE SD,M22A19561,MONROE,VAN BUREN,BLOOMINGTON,2,,1,0,0,,S ROCKPORT RD,,,,,S ROCKPORT RD,W STANSIFER LN,,,,N,,0.0,,39.15349887404914,-86.54356510782493,COUNTY RD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER LN USAGE,$10001 TO $25000,HEAD ON BETWEEN TWO MOTOR VEHICLES,WSTANSIFERLNSROCKPORTRD,0,,2022-08-11 08:23:00,,,
BLOOMINGTON PD,B22-40858,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E 10TH ST,,,,,E 10TH ST,N WALNUT ST,,,,Y,,0.0,,39.11457983882823,-86.53981782337229,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,NWALNUTSTE 10THST,0,,2022-10-05 12:50:00,,,
INDIANA UNIV BLOOMINGTON PD,220655,MONROE,BLOOMINGTON,BLOOMINGTON,2,,1,0,0,,N INDIANA AVE,,,,,N INDIANA AVE,E KIRKWOOD AVE,,,,Y,,264.0,,39.17323593035155,-86.54824700441199,LOCAL/CITY RD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$10001 TO $25000,LEFT TURN,NINDIANAAVEEKIRKWOODAVE,0,,2022-02-19 19:25:00,,,
BLOOMINGTON PD,B22-11601,MONROE,PERRY,BLOOMINGTON,1,,0,0,0,,891 S COLLEGE MALL RD,,,,,S COLLEGE MALL RD,,,,,Y,,0.0,,39.12009614508805,-86.54020846751254,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,RAN OFF RD,891SCOLLEGEMALLRD,0,,2022-04-04 15:44:00,891.0,,
INDIANA UNIV BLOOMINGTON PD,221644,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,600,N EAGLESON AVE,,,,,N EAGLESON AVE,,,,,Y,,0.0,,39.16308383437775,-86.5259316202886,PRIVATE DR,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,NEAGLESONAVE,0,,2022-04-26 09:30:00,,,
ELLETTSVILLE PD,E22-02722,MONROE,RICHLAND,ELLETTSVILLE,2,,0,0,0,,504 W TEMPERANCE,,,,,W TEMPERANCE,,,,,Y,,0.0,,39.1449873458414,-86.57776541653239,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$25001 TO $50000,SAME DIRECTION SIDESWIPE,504W.TEMPERANCE,0,,2022-07-21 12:57:00,504.0,,
INDIANA UNIV BLOOMINGTON PD,221397,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,ST RD 45,,,,,ST RD 45,WALKWAY,,,,N,,0.0,,39.14194155411252,-86.58260689942828,ST RD,,,,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,UNDER $1001,REAR END,WALKWAYSTATERD45,0,,2022-04-13 13:27:00,,,
ELLETTSVILLE PD,E2202161,MONROE,RICHLAND,ELLETTSVILLE,2,0.0,0,0,0,,,,ST RD 46 W,,,ST RD 46 W,EDGEWOOD,,,,Y,,,,39.16855,-86.53358,ST RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,CONCRETE,UNSAFE SPEED,$2501 TO $5000,REAR END,EDGEWOODDRST RD 46 W,0,LN CONTROL,2022-06-12 14:53:00,,,
MONROE SD,M22A14524,MONROE,SALT CREEK,BLOOMINGTON,1,,0,0,0,,PAYNETOWN RD,,,,,PAYNETOWN RD,,,,,N,,0.0,,39.14688897883097,-86.5316562693257,PRIVATE DR,,,,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$1001 TO $2500,SAME DIRECTION SIDESWIPE,PAYNETOWNRD,0,,2022-06-19 21:51:00,,,
MONROE SD,M22A5557,MONROE,,,1,,1,0,0,,S ST RD 37,,,I-69,N,S ST RD 37,,,,,N,,0.0,,39.18698112731289,-86.55528922824429,,,,,RURAL,N,Y,N,,DARK (LIGHTED),CLEAR,DRY,,RAMP,,ASPHALT,DRIVER ASLEEP OR FATIGUED,$5001 TO $10000,RAN OFF RD,SSTATERD37I-69 NB,0,,2022-03-10 03:23:00,,,
ISP BLOOMINGTON 33,2.022E+11,MONROE,CLEAR CREEK,BLOOMINGTON,2,,0,0,0,,S ROCKPORT RD,,,,,S ROCKPORT RD,W DUNCAN DR,,,,Y,,0.0,,39.16755,-86.5336,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$2501 TO $5000,RIGHT ANGLE,WDUNCANDRSROCKPORTRD,0,,2022-03-07 14:30:00,,,
BLOOMINGTON PD,B22-05955,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,ST RD 45/46 BYPASS,,,,,ST RD 45/46 BYPASS,N WALNUT ST,,,,Y,,0.0,,39.0162961041439,-86.48286852280634,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,STATERD45/46BYPASSNORTHWALNUTST,0,,2022-02-22 15:21:00,,,
MONROE SD,M22A19438,MONROE,VAN BUREN,BLOOMINGTON,1,,0,0,0,,S GARRISON CHAPEL RD,,,,,S GARRISON CHAPEL RD,W 3RD ST,,,,N,,0.0,,39.22640367802474,-86.48994940847422,LOCAL/CITY RD,,,,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$10001 TO $25000,RAN OFF RD,W 3RDSTSGARRISONCHAPELRD,0,,2022-08-09 17:17:00,,,
ISP VERSAILLES 42,20220185126,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,ST RD 37,,,,,ST RD 37,S ST RD 37,,,,N,,0.0,,39.18274125651407,-86.53860866506152,ST RD,,,,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$2501 TO $5000,REAR END,STATERD37SOLDSTATERD37,0,,2022-04-25 07:51:00,,,
BLOOMINGTON PD,B22-41285,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,W ST RD 45,,,,,W ST RD 45,S CURRY PK,,,,Y,,211.0,,39.168488365453,-86.52826986680073,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OVERCORRECTING/OVERSTEERING,$10001 TO $25000,OPPOSITE DIRECTION SIDESWIPE,WSTATERD45SCURRYPK,0,,2022-10-07 14:25:00,,,
BLOOMINGTON PD,B22-34008,MONROE,BLOOMINGTON,BLOOMINGTON,4,,0,0,0,,N GRANT ST,,,,,N GRANT ST,E 10TH ST,,,,Y,,0.0,,39.160342755722425,-86.55085464764903,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$5001 TO $10000,RIGHT ANGLE,NGRANTSTE 10THST,0,,2022-08-27 19:56:00,,,
MONROE SD,M22A18618,MONROE,RICHLAND,ELLETTSVILLE,1,,0,0,0,,ST RD 46,,,,,ST RD 46,W ARLINGTON RD,,,,N,,528.0,,39.212078367015636,-86.58722313355011,,,,,RURAL,N,Y,N,,DAYLIGHT,CLEAR,WET,,NO JUNCTION INVOLVED,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$2501 TO $5000,RAN OFF RD,WARLINGTONRDSTATERD46,0,,2022-08-01 10:43:00,,,
ISP BLOOMINGTON 33,2.022E+11,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,ST RD 37,,,,,ST RD 37,S VICTOR PK,,,,N,,0.0,,39.186408509366956,-86.53773020961039,ST RD,,,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$25001 TO $50000,RIGHT ANGLE,S ST RD 37VICTORPK,0,,2022-04-12 13:25:00,,,
BLOOMINGTON PD,B22-10849,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,W 3RD ST,,,,,W 3RD ST,S WESTPLEX AVE,,,,Y,,0.0,,39.16917023542255,-86.52293005171349,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,W.3RDSTS.WESTPLEXAVE,0,,2022-03-30 15:24:00,,,
INDIANA UNIV BLOOMINGTON PD,222002,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,ATWATER AVE,,,,,ATWATER AVE,,,,,Y,,0.0,,39.251775604684035,-86.52905465621575,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$2501 TO $5000,RIGHT ANGLE,ATWATERAVE,0,,2022-05-29 18:08:00,,,
BLOOMINGTON PD,B22-25767,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,N WALNUT ST,,,,,N WALNUT ST,W 10TH ST,,,,Y,,0.0,,39.135994131223555,-86.52690134426679,LOCAL/CITY RD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO MAINTAIN LN,$10001 TO $25000,SAME DIRECTION SIDESWIPE,W10THSTNWALNUTST,0,,2022-07-07 00:38:00,,,
BLOOMINGTON PD,B22-29039,MONROE,PERRY,BLOOMINGTON,1,,0,0,1,,S ST RD 37,,,,,S ST RD 37,E BURKS DR,,,,Y,,300.0,,39.167637260998106,-86.5000787213535,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN RDWAY,UNDER $1001,COLLISION WITH DEER,SOLDSTATERD37EBURKSDR,0,,2022-07-29 10:15:00,,,
